country,year,milex_constant_usd_m,milex_share_gdp,sipri_available,country_code,wb_milex_pct_gdp,worldbank_available,total_events,total_fatalities,total_pop_exposure,battles,explosions_remote_violence,protests,riots,strategic_developments,violence_against_civilians,acled_available,gdp_pct,nato_2pct_threshold,conflict_zone
Germany,2023,67285.19863786241,1.487963326205636,1,DEU,1.48796332620564,1,4135.0,8.0,17928606.0,0.0,0.0,3937.0,102.0,93.0,3.0,1,1.487963326205636,0,Other
Germany,2024,86301.28701969642,1.8919037720549365,1,DEU,1.89190377205494,1,4953.0,17.0,21090178.0,1.0,1.0,4556.0,150.0,231.0,14.0,1,1.8919037720549365,0,Other
Gibraltar,2020,,,0,,,0,1.0,0.0,16329.0,0.0,0.0,1.0,0.0,0.0,0.0,1,,0,Other
Gibraltar,2021,,,0,,,0,1.0,0.0,16649.0,0.0,0.0,1.0,0.0,0.0,0.0,1,,0,Other
Gibraltar,2022,,,0,,,0,1.0,0.0,16961.0,0.0,0.0,1.0,0.0,0.0,0.0,1,,0,Other
Gibraltar,2023,,,0,,,0,1.0,0.0,17333.0,0.0,0.0,1.0,0.0,0.0,0.0,1,,0,Other
Greece,2018,5990.865575178422,2.700541082097663,1,GRC,2.70054108209766,1,411.0,26.0,18912030.0,4.0,10.0,201.0,146.0,27.0,23.0,1,2.700541082097663,1,Other
Greece,2019,5890.721719518047,2.596483671103052,1,GRC,2.59648367110305,1,874.0,7.0,28535803.0,1.0,15.0,498.0,252.0,62.0,46.0,1,2.596483671103052,1,Other
Greece,2020,6283.63406807117,3.0231076572883397,1,GRC,3.02310765728834,1,938.0,6.0,19366884.0,0.0,12.0,659.0,174.0,76.0,17.0,1,3.0231076572883397,1,Other
Greece,2021,8601.919670729663,3.8024736784176394,1,GRC,3.80247367841764,1,769.0,7.0,22623034.0,4.0,19.0,558.0,134.0,32.0,22.0,1,3.8024736784176394,1,Other
Greece,2022,9294.465842906508,4.000352461433729,1,GRC,4.00035246143373,1,760.0,70.0,24582030.0,1.0,27.0,436.0,149.0,121.0,26.0,1,4.000352461433729,1,Other
