country,year,total_events,total_fatalities,total_pop_exposure,battles,explosions_remote_violence,protests,riots,strategic_developments,violence_against_civilians
Ukraine,2020,9898,121,32967147.0,3356,4941,1363,90,89,59
Ukraine,2021,8585,149,28977588.0,2405,4822,1170,43,107,38
Ukraine,2022,44601,41173,278120094.0,7572,31996,294,7,3696,1036
Ukraine,2023,57968,39746,194633686.0,10998,43538,134,0,3197,101
Ukraine,2024,55844,73641,217835378.0,17439,35517,340,5,2442,101
United Kingdom,2019,14,0,73026.0,0,0,14,0,0,0
United Kingdom,2020,2350,5,14014151.0,2,0,2182,114,39,13
United Kingdom,2021,1730,5,10820347.0,0,0,1585,106,24,15
United Kingdom,2022,1808,0,9787523.0,0,1,1738,45,18,6
United Kingdom,2023,1124,1,6817419.0,0,0,1084,24,11,5
United Kingdom,2024,1047,0,7408360.0,0,1,923,72,44,7
Uzbekistan,2018,28,2,531257.0,0,0,11,3,3,11
Uzbekistan,2019,85,3,1289833.0,0,0,47,11,12,15
Uzbekistan,2020,224,4,2299442.0,0,0,181,17,3,23
Uzbekistan,2021,284,4,2935380.0,0,1,239,17,3,24
Uzbekistan,2022,162,29,1971016.0,0,1,116,13,1,31
Uzbekistan,2023,121,3,2061758.0,0,0,82,10,0,29
Uzbekistan,2024,111,3,1315906.0,0,0,90,3,3,15
Vatican City,2020,3,0,16354.0,0,0,2,0,1,0
Vatican City,2022,1,0,8125.0,0,0,1,0,0,0
Vatican City,2023,2,0,16218.0,0,0,2,0,0,0
Vatican City,2024,2,0,16182.0,0,0,2,0,0,0
